txn_id,user_id,merchant_id,payment_method,amount,merchant_category,is_international,payer_bank,payee_bank,issuer_type,device_type,os_version_major,app_version_major,is_rooted_or_jailbroken,sim_operator,network_type,latency_ms,packet_loss_pct,signal_strength_dbm,avg_txn_amount_30d,txn_count_24h,failed_txn_count_1h,chargeback_flag_180d,account_age_days,daily_limit_remaining,available_balance_est,velocity_score,risk_score,geo_distance_km_from_usual,txn_hour,day_of_week,is_night_txn,merchant_failure_rate_1h,bank_failure_rate_1h,failure_reason
T1000033,76288,6425,UPI,291.26,ECOM,0,ICICI,SBI,PRIVATE,IOS,14,9,0,AIRTEL,WIFI,106,0.74,-82,72.46,1,0,0,390,50845.01,138.1,29.5,7.7,3.44,11,3,0,0.0062,0.0542,INSUFFICIENT_FUNDS
T1000034,43884,1284,UPI,331.92,FUEL,0,SBI,ICICI,PRIVATE,ANDROID,13,17,0,JIO,4G,136,2.02,-82,202.47,3,0,0,421,25525.27,477.41,56.6,46.4,0.79,18,0,0,0.0256,0.0936,INVALID_VPA_OR_CARD
T1000035,81153,5179,WALLET,436.07,GROCERY,0,PNB,ICICI,PUBLIC,WEB,0,9,0,AIRTEL,5G,75,1.15,-91,305.7,5,0,0,468,60000.0,667.67,48.6,17.3,2.46,18,0,0,0.008,0.0858,BANK_SERVER_DOWN
T1000036,10490,3064,UPI,224.31,BILLS,0,YES,AXIS,COOP,ANDROID,13,13,0,VI,4G,147,1.28,-88,61.87,1,0,0,5,44789.8,175.27,35.5,19.4,4.03,9,2,0,0.0119,0.0222,INSUFFICIENT_FUNDS
T1000037,34869,6524,UPI,764.25,RETAIL,0,KOTAK,PNB,PRIVATE,ANDROID,11,7,0,JIO,4G,135,1.5,-76,207.3,0,0,0,321,44174.07,409.44,36.8,13.3,3.79,21,0,0,0.1299,0.0118,INSUFFICIENT_FUNDS
T1000038,30601,7567,WALLET,49.74,GROCERY,0,BOB,YES,PRIVATE,ANDROID,11,13,0,AIRTEL,WIFI,94,1.38,-68,50.0,3,2,0,583,43199.82,105.52,34.6,21.5,23.53,0,5,1,0.0164,0.0479,PIN_OR_OTP_FAILED
T1000039,20771,7753,UPI,57.55,RETAIL,0,PNB,HDFC,PUBLIC,ANDROID,9,10,0,JIO,4G,92,0.93,-86,95.19,4,2,0,847,26943.35,307.12,67.5,12.6,4.47,6,3,1,0.0291,0.0345,SUSPECTED_FRAUD
T1000040,56856,2643,CARD,239.23,RETAIL,0,YES,AXIS,PRIVATE,WEB,0,8,0,VI,WIFI,96,0.88,-81,62.46,2,0,0,298,36668.0,163.41,51.3,19.9,7.09,9,6,0,0.0951,0.0476,INSUFFICIENT_FUNDS
T1000041,35765,7972,UPI,65.53,EDTECH,0,KOTAK,PNB,PRIVATE,ANDROID,8,10,0,VI,WIFI,97,1.02,-87,357.28,2,0,0,309,38155.78,898.49,27.5,25.5,2.69,12,6,0,0.0124,0.0255,BANK_SERVER_DOWN
T1000042,77843,4440,UPI,252.63,RETAIL,0,ICICI,YES,PRIVATE,IOS,12,6,0,JIO,WIFI,149,2.19,-103,50.0,4,1,0,41,42500.13,93.03,51.5,19.5,2.14,15,4,0,0.0842,0.1057,INSUFFICIENT_FUNDS
T1000043,52676,8515,CARD,227.79,BILLS,0,AXIS,IDFC,COOP,ANDROID,8,15,0,VI,4G,155,3.11,-90,50.0,2,0,0,1258,60000.0,170.93,14.9,7.7,7.53,20,1,0,0.0401,0.0288,INSUFFICIENT_FUNDS
T1000044,35716,1875,UPI,86.01,ECOM,0,KOTAK,KOTAK,COOP,IOS,12,13,0,JIO,3G,402,6.55,-108,348.27,6,0,0,637,36572.87,527.42,25.7,25.0,31.07,20,2,0,0.0372,0.0711,NETWORK_TIMEOUT
T1000045,86660,1567,UPI,243.6,PHARMACY,0,HDFC,YES,PUBLIC,IOS,17,13,0,JIO,WIFI,79,1.8,-85,56.66,6,0,0,629,31188.64,42.09,44.5,0.0,5.33,14,3,0,0.0302,0.0112,INSUFFICIENT_FUNDS
T1000046,77031,5175,UPI,253.97,FOOD,0,BOB,IDFC,PUBLIC,WEB,0,13,0,JIO,WIFI,83,1.68,-92,213.79,1,1,0,715,60000.0,474.58,15.8,10.0,13.65,2,2,1,0.0088,0.0743,BANK_SERVER_DOWN
T1000047,58208,9331,UPI,269.46,EDTECH,0,SBI,KOTAK,PUBLIC,ANDROID,14,6,0,JIO,4G,139,0.43,-93,50.0,4,0,0,1136,57626.93,151.97,35.6,29.8,3.73,21,3,0,0.0218,0.0568,INSUFFICIENT_FUNDS
T1000048,13648,7915,CARD,160.87,FUEL,0,ICICI,AXIS,PRIVATE,IOS,17,11,0,JIO,4G,20,1.77,-90,50.0,1,1,0,802,57460.85,103.72,30.7,22.4,1.24,23,6,1,0.0859,0.0266,INSUFFICIENT_FUNDS
T1000049,47679,3074,UPI,277.55,ECOM,0,ICICI,AXIS,PRIVATE,ANDROID,10,15,0,JIO,WIFI,43,0.19,-67,198.35,2,0,0,114,28687.36,162.24,32.9,11.2,1.23,13,5,0,0.0396,0.0149,INSUFFICIENT_FUNDS
T1000050,73953,9826,UPI,163.03,FOOD,0,HDFC,KOTAK,PRIVATE,ANDROID,10,14,0,AIRTEL,4G,127,2.03,-88,141.95,2,0,0,37,60000.0,250.41,15.4,22.7,1.92,20,2,0,0.013,0.1189,BANK_SERVER_DOWN
T1000051,65716,6440,UPI,74.9,EDTECH,0,AXIS,BOB,PRIVATE,ANDROID,8,13,0,JIO,WIFI,114,3.46,-98,72.01,2,0,0,1147,60000.0,144.66,36.2,9.5,3.44,19,5,0,0.1145,0.0499,MERCHANT_CONFIGURATION_ISSUE
T1000052,35144,3615,UPI,87.23,TRAVEL,0,SBI,AXIS,PUBLIC,IOS,17,13,0,JIO,4G,228,0.94,-102,216.24,2,0,0,356,39163.25,573.39,27.6,32.5,1.89,20,4,0,0.0739,0.0284,MERCHANT_CONFIGURATION_ISSUE
T1000053,43617,2447,UPI,153.87,ECOM,0,HDFC,AXIS,PUBLIC,ANDROID,12,11,0,JIO,4G,163,1.31,-95,642.54,4,1,0,603,29181.44,1544.42,42.7,31.2,2.74,6,2,1,0.0125,0.0246,INSUFFICIENT_FUNDS
T1000054,12858,3717,UPI,125.43,FOOD,0,SBI,HDFC,PRIVATE,ANDROID,10,8,0,JIO,5G,119,1.28,-87,688.69,2,1,0,228,43548.78,1625.4,48.8,8.8,2.68,0,2,1,0.0712,0.0302,MERCHANT_CONFIGURATION_ISSUE
T1000055,10216,2938,CARD,104.91,PHARMACY,0,ICICI,ICICI,NBFC,ANDROID,14,15,0,VI,4G,202,0.79,-84,140.46,5,0,0,508,32658.82,310.84,43.8,5.3,8.32,18,4,0,0.039,0.0049,INSUFFICIENT_FUNDS
T1000056,86103,5133,UPI,365.07,TRAVEL,0,PNB,AXIS,PUBLIC,ANDROID,14,11,0,VI,4G,124,3.67,-93,303.88,6,0,0,103,38032.22,593.09,48.2,9.7,7.69,10,4,0,0.024,0.0466,NETWORK_TIMEOUT
T1000057,97087,7881,UPI,316.23,FUEL,0,ICICI,BOB,PUBLIC,IOS,13,10,0,JIO,WIFI,87,4.0,-87,114.32,0,0,0,5,45285.96,300.58,42.0,26.8,4.44,18,3,0,0.0634,0.0829,INSUFFICIENT_FUNDS
T1000058,88610,6454,UPI,102.05,FOOD,0,PNB,YES,PUBLIC,ANDROID,13,15,0,JIO,4G,161,0.94,-85,123.82,4,0,0,795,33498.78,146.78,31.4,15.7,2.54,9,5,0,0.0936,0.0558,INVALID_VPA_OR_CARD
T1000059,88107,7111,CARD,110.7,BILLS,0,ICICI,IDFC,PRIVATE,ANDROID,14,12,0,AIRTEL,WIFI,73,0.56,-82,58.98,2,2,0,466,24376.09,141.06,36.7,14.1,20.74,3,6,1,0.0346,0.0394,PIN_OR_OTP_FAILED
T1000060,20879,6192,UPI,133.72,EDTECH,0,AXIS,HDFC,PUBLIC,ANDROID,11,8,0,BSNL,5G,93,0.12,-104,50.0,8,1,0,669,42050.37,40.25,74.9,26.3,6.45,5,2,1,0.0776,0.0095,INSUFFICIENT_FUNDS
T1000061,31146,5755,UPI,73.81,FUEL,0,PNB,KOTAK,PRIVATE,ANDROID,8,16,0,AIRTEL,WIFI,100,1.92,-74,264.47,5,0,0,1028,52783.19,277.77,47.3,25.8,1.94,12,4,0,0.0093,0.0712,BANK_SERVER_DOWN
T1000062,26266,5352,UPI,73.93,GROCERY,0,AXIS,BOB,PRIVATE,ANDROID,8,6,0,AIRTEL,4G,207,0.5,-79,167.38,3,0,0,5,39195.41,200.96,30.2,20.9,0.61,17,1,0,0.0073,0.0582,INSUFFICIENT_FUNDS
T1000063,98507,1535,UPI,80.39,TRAVEL,0,HDFC,KOTAK,PRIVATE,ANDROID,9,17,0,JIO,WIFI,69,0.85,-107,120.2,2,2,0,325,38784.89,331.21,44.4,5.6,3.88,5,6,1,0.0111,0.0481,NETWORK_TIMEOUT
T1000064,89227,8720,WALLET,213.15,FUEL,0,ICICI,IDFC,NBFC,ANDROID,10,17,0,JIO,4G,151,0.55,-92,88.38,2,1,0,685,50163.79,170.36,47.3,18.1,2.06,20,0,0,0.0028,0.1659,INSUFFICIENT_FUNDS
T1000065,20042,9596,WALLET,173.65,ECOM,0,SBI,AXIS,COOP,ANDROID,8,10,0,AIRTEL,4G,260,1.6,-69,383.95,2,1,0,5,52815.76,840.46,35.0,27.2,2.55,5,6,1,0.022,0.0655,BANK_SERVER_DOWN
T1000066,55685,7144,UPI,320.5,PHARMACY,0,PNB,SBI,PRIVATE,ANDROID,14,10,0,VI,3G,190,2.4,-75,192.46,6,0,0,342,45248.55,338.89,58.7,36.9,1.01,20,4,0,0.0282,0.1218,BANK_SERVER_DOWN
T1000067,40454,3482,UPI,351.78,ECOM,0,HDFC,YES,PRIVATE,ANDROID,14,12,0,JIO,WIFI,114,1.27,-93,191.26,1,1,0,476,46318.96,259.09,50.2,9.0,8.95,23,4,1,0.0446,0.0448,INSUFFICIENT_FUNDS
T1000068,73131,8065,CARD,179.57,EDTECH,0,AXIS,AXIS,COOP,ANDROID,11,11,1,AIRTEL,5G,140,1.84,-83,85.9,2,0,0,623,42711.02,199.27,36.3,29.9,1.13,8,5,0,0.1236,0.0675,BANK_SERVER_DOWN
T1000069,47379,8344,UPI,116.42,TRAVEL,0,ICICI,PNB,PUBLIC,ANDROID,10,10,0,JIO,5G,26,0.21,-107,109.43,7,1,0,964,54508.57,265.51,36.7,10.7,4.82,15,4,0,0.0126,0.0224,NETWORK_TIMEOUT
T1000070,75132,3609,UPI,153.64,GROCERY,0,HDFC,BOB,PUBLIC,ANDROID,12,15,0,VI,WIFI,55,2.47,-98,749.51,8,0,0,397,13219.0,2485.3,48.5,14.9,19.64,7,3,0,0.0427,0.1198,BANK_SERVER_DOWN
T1000071,67435,8476,UPI,87.09,FOOD,0,SBI,YES,PRIVATE,ANDROID,13,6,0,AIRTEL,3G,222,0.68,-88,50.0,2,0,0,765,54150.07,44.49,8.2,18.1,2.85,13,2,0,0.0103,0.0405,INSUFFICIENT_FUNDS
T1000072,94115,1641,CARD,409.77,FOOD,0,KOTAK,PNB,COOP,ANDROID,14,15,0,AIRTEL,4G,20,1.65,-82,94.08,0,0,0,112,60000.0,291.97,23.2,25.5,18.1,17,4,0,0.0895,0.054,INSUFFICIENT_FUNDS
T1000073,38275,7192,WALLET,276.55,RETAIL,1,HDFC,SBI,PUBLIC,ANDROID,10,9,0,JIO,4G,168,2.83,-85,312.65,3,1,1,1010,42021.52,642.99,27.3,41.5,6.59,2,3,1,0.0688,0.103,BANK_SERVER_DOWN
T1000074,62208,8357,CARD,416.72,RETAIL,0,AXIS,HDFC,PRIVATE,ANDROID,11,9,0,JIO,3G,134,0.97,-90,68.85,5,1,0,5,52587.61,182.22,41.2,17.3,6.94,1,3,1,0.0032,0.0374,INSUFFICIENT_FUNDS
T1000075,94159,5470,UPI,119.72,RETAIL,0,SBI,PNB,PRIVATE,ANDROID,8,13,0,AIRTEL,5G,40,0.9,-73,181.72,5,1,0,79,46342.64,330.72,45.6,20.0,1.75,2,0,1,0.0581,0.0228,NETWORK_TIMEOUT
T1000076,51164,5350,UPI,55.98,BILLS,0,IDFC,SBI,PRIVATE,ANDROID,13,6,0,VI,4G,177,2.4,-87,78.33,4,0,0,708,34592.32,62.54,27.5,33.9,3.44,20,1,0,0.0655,0.0803,BANK_SERVER_DOWN
T1000077,44652,4421,WALLET,123.44,FOOD,0,SBI,KOTAK,NBFC,IOS,17,17,0,AIRTEL,4G,20,0.44,-89,354.9,4,0,0,224,47453.0,1076.51,43.1,21.3,1.01,13,2,0,0.0852,0.035,PIN_OR_OTP_FAILED
T1000078,19610,1624,UPI,150.35,FUEL,0,HDFC,HDFC,PRIVATE,ANDROID,8,8,0,AIRTEL,4G,41,1.46,-79,699.07,2,2,0,306,40278.78,1051.17,31.9,21.7,5.13,5,6,1,0.0554,0.1236,BANK_SERVER_DOWN
T1000079,75249,3971,UPI,111.96,FOOD,0,SBI,KOTAK,PUBLIC,ANDROID,11,9,0,JIO,4G,226,0.69,-86,236.33,3,2,0,656,60000.0,453.46,73.6,34.6,5.69,1,3,1,0.0635,0.0238,PIN_OR_OTP_FAILED
T1000080,81929,6703,UPI,281.06,PHARMACY,0,ICICI,IDFC,PUBLIC,IOS,12,8,0,AIRTEL,4G,205,1.67,-72,82.31,1,0,0,736,36973.92,130.55,32.7,22.3,15.47,21,3,0,0.0614,0.1077,INSUFFICIENT_FUNDS
T1000081,71741,6695,CARD,87.28,ECOM,0,YES,PNB,PRIVATE,WEB,0,11,0,AIRTEL,WIFI,34,0.31,-110,50.0,6,0,0,368,60000.0,133.96,22.8,14.3,6.44,10,5,0,0.0624,0.0068,NETWORK_TIMEOUT
T1000082,28467,8696,UPI,86.82,GROCERY,0,BOB,BOB,PRIVATE,ANDROID,10,11,1,VI,WIFI,110,2.38,-105,93.51,4,1,0,343,55185.7,246.74,54.4,36.1,14.23,2,0,1,0.0006,0.0404,NETWORK_TIMEOUT
T1000083,28137,9093,UPI,226.01,FOOD,0,AXIS,SBI,NBFC,WEB,0,8,0,JIO,4G,272,0.82,-84,134.08,1,1,0,547,25579.85,120.95,26.6,14.4,6.16,3,4,1,0.0603,0.0367,INSUFFICIENT_FUNDS
T1000084,87231,2272,UPI,268.44,ECOM,0,SBI,ICICI,PRIVATE,ANDROID,13,13,0,AIRTEL,4G,20,1.78,-57,153.71,0,0,0,275,46585.35,482.44,23.8,24.3,1.88,16,4,0,0.0243,0.0113,LIMIT_EXCEEDED
T1000085,46812,1954,UPI,120.85,EDTECH,0,PNB,IDFC,PRIVATE,ANDROID,14,7,0,JIO,4G,153,5.01,-77,132.95,6,3,0,5,30981.68,409.8,77.0,18.6,16.99,23,0,1,0.0983,0.0266,PIN_OR_OTP_FAILED
T1000086,60138,8018,UPI,107.03,FOOD,0,IDFC,SBI,PRIVATE,IOS,15,9,0,JIO,4G,159,3.11,-90,94.72,2,0,0,388,55058.27,301.59,22.1,24.0,2.85,11,4,0,0.0421,0.1963,BANK_SERVER_DOWN
T1000087,67248,5049,UPI,250.23,TRAVEL,0,KOTAK,KOTAK,COOP,ANDROID,8,15,0,AIRTEL,4G,25,1.63,-86,66.75,2,1,0,1074,50802.17,143.09,35.0,12.6,6.75,22,2,1,0.0475,0.0156,INSUFFICIENT_FUNDS
T1000088,54082,4685,UPI,117.82,TRAVEL,0,PNB,HDFC,PUBLIC,IOS,15,16,0,JIO,WIFI,69,1.61,-95,199.21,2,2,0,1214,60000.0,998.38,26.1,16.1,2.61,5,2,1,0.04,0.1528,BANK_SERVER_DOWN
T1000089,51751,9960,CARD,185.08,ECOM,0,BOB,AXIS,PUBLIC,ANDROID,8,15,0,JIO,4G,83,2.57,-90,88.68,1,0,0,669,59555.18,369.35,2.8,23.5,3.05,7,1,0,0.0686,0.0324,INSUFFICIENT_FUNDS
T1000090,19801,8338,WALLET,154.62,GROCERY,0,SBI,IDFC,PRIVATE,ANDROID,10,11,0,AIRTEL,4G,141,0.54,-89,194.11,2,1,1,1046,56786.16,394.09,26.6,48.5,5.39,18,6,0,0.0286,0.0538,PIN_OR_OTP_FAILED
T1000091,81573,6799,UPI,87.59,ECOM,0,IDFC,YES,PUBLIC,ANDROID,11,16,0,AIRTEL,5G,39,2.07,-94,133.82,6,0,0,5,46314.99,355.19,38.4,29.3,4.85,12,3,0,0.0441,0.0405,BANK_SERVER_DOWN
T1000092,11040,7089,WALLET,243.95,FUEL,0,SBI,KOTAK,PRIVATE,ANDROID,14,10,0,AIRTEL,4G,172,1.22,-94,52.51,1,0,0,5,44236.3,125.3,27.2,12.8,13.91,12,6,0,0.0374,0.0944,INSUFFICIENT_FUNDS
T1000093,28751,2333,CARD,745.23,FOOD,0,SBI,IDFC,PUBLIC,ANDROID,12,9,0,JIO,WIFI,153,0.37,-81,97.38,2,0,0,268,60000.0,99.83,41.4,30.2,7.15,13,1,0,0.0618,0.0233,INSUFFICIENT_FUNDS
T1000094,23608,7672,UPI,195.09,EDTECH,0,PNB,BOB,PRIVATE,ANDROID,9,14,0,JIO,WIFI,102,1.27,-84,300.44,2,1,0,544,51523.62,761.0,27.8,27.0,5.02,5,1,1,0.0688,0.023,PIN_OR_OTP_FAILED
T1000095,90410,6792,CARD,123.8,GROCERY,0,BOB,BOB,PRIVATE,ANDROID,8,9,0,VI,5G,62,2.29,-87,177.84,2,2,0,445,53195.53,556.27,32.9,7.5,11.6,0,1,1,0.0418,0.1666,BANK_SERVER_DOWN
T1000096,36292,7060,UPI,154.45,BILLS,1,BOB,KOTAK,PRIVATE,ANDROID,9,7,0,AIRTEL,WIFI,98,1.59,-76,202.49,3,0,0,5,60000.0,452.03,35.1,20.8,3.63,16,5,0,0.0383,0.0148,LIMIT_EXCEEDED
T1000097,36956,7753,WALLET,104.85,FOOD,0,HDFC,KOTAK,PRIVATE,ANDROID,9,15,0,AIRTEL,4G,55,0.64,-84,78.98,4,1,0,1009,39768.61,242.97,25.3,23.3,2.84,22,3,1,0.0758,0.1234,BANK_SERVER_DOWN
